b0180	GO:0008693	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity
b0180	GO:0042802	identical protein binding
b0180	GO:0047451	3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity
b2784	GO:0005524	ATP binding
b2784	GO:0005525	GTP binding
b2784	GO:0008728	GTP diphosphokinase activity
b2784	GO:0008893	guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity
b2784	GO:0016301	kinase activity
b2784	GO:0016597	amino acid binding
b1394	GO:0005515	protein binding
b1394	GO:0016829	lyase activity
b1394	GO:0016853	isomerase activity
b1394	GO:0042802	identical protein binding
b3432	GO:0003844	1,4-alpha-glucan branching enzyme activity
b3432	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
b3432	GO:0043169	cation binding
b3930	GO:0000287	magnesium ion binding
b3930	GO:0046428	1,4-dihydroxy-2-naphthoate octaprenyltransferase activity
b1686	GO:0016289	CoA hydrolase activity
b1686	GO:0016787	hydrolase activity
b1686	GO:0061522	1,4-dihydroxy-2-naphthoyl-CoA thioesterase activity
b0867	GO:0008270	zinc ion binding
b0867	GO:0008745	N-acetylmuramoyl-L-alanine amidase activity
b0867	GO:0009392	N-acetyl-anhydromuramoyl-L-alanine amidase activity
b0110	GO:0008745	N-acetylmuramoyl-L-alanine amidase activity
b0110	GO:0009392	N-acetyl-anhydromuramoyl-L-alanine amidase activity
b0110	GO:0046872	metal ion binding
b3018	GO:0003841	1-acylglycerol-3-phosphate O-acyltransferase activity,
b0173	GO:0030145	manganese ion binding
b0173	GO:0030604	1-deoxy-D-xylulose-5-phosphate reductoisomerase activity
b0173	GO:0042802	identical protein binding
b0173	GO:0070402	NADPH binding
b0420	GO:0000287	magnesium ion binding
b0420	GO:0008661	1-deoxy-D-xylulose-5-phosphate synthase activity
b0420	GO:0030976	thiamine pyrophosphate binding
b2515	GO:0005506	iron ion binding
b2515	GO:0005515	protein binding
b2515	GO:0046429	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity
b2515	GO:0046872	metal ion binding
b2515	GO:0051539	4 iron, 4 sulfur cluster binding
b3288	GO:0004479	methionyl-tRNA formyltransferase activity,
b3146	GO:0070677	rRNA (cytosine-2'-O-)-methyltransferase activity,
b4371	GO:0003676	nucleic acid binding
b4371	GO:0008990	rRNA (guanine-N2-)-methyltransferase activity
b4371	GO:0052914	16S rRNA (guanine(1207)-N(2))-methyltransferase activity
b3497	GO:0008990	rRNA (guanine-N2-)-methyltransferase activity
b3497	GO:0036308	16S rRNA (guanine(1516)-N(2))-methyltransferase activity
b3465	GO:0003676	nucleic acid binding
b3465	GO:0052913	16S rRNA (guanine(966)-N(2))-methyltransferase activity
b2946	GO:0070042	rRNA (uridine-N3-)-methyltransferase activity,
b0082	GO:0071424	rRNA (cytosine-N4-)-methyltransferase activity,
b1835	GO:0003723	RNA binding
b1835	GO:0009383	rRNA (cytosine-C5-)-methyltransferase activity
b3289	GO:0003723	RNA binding
b3289	GO:0009383	rRNA (cytosine-C5-)-methyltransferase activity
b0051	GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity
b0051	GO:0003690	double-stranded DNA binding
b0051	GO:0003729	mRNA binding
b0051	GO:0019843	rRNA binding
b0051	GO:0052908	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase activity
b3740	GO:0070043	rRNA (guanine-N7-)-methyltransferase activity,
b2183	GO:0003723	RNA binding
b2183	GO:0005515	protein binding
b2183	GO:0009982	pseudouridine synthase activity
b0147	GO:0004113	2',3'-cyclic-nucleotide 3'-phosphodiesterase activity
b0147	GO:0008664	2'-5'-RNA ligase activity
b4213	GO:0000166	nucleotide binding
b4213	GO:0008254	3'-nucleotidase activity
b4213	GO:0008663	2',3'-cyclic-nucleotide 2'-phosphodiesterase activity
b4213	GO:0046872	metal ion binding
b0166	GO:0008666	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity,
b1393	GO:0004300	enoyl-CoA hydratase activity
b1393	GO:0005515	protein binding
b1393	GO:0042802	identical protein binding
b2871	GO:0008838	diaminopropionate ammonia-lyase activity
b2871	GO:0030170	pyridoxal phosphate binding
b0596	GO:0008667	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase activity
b0596	GO:0042802	identical protein binding
b2541	GO:0018498	2,3-dihydroxy-2,3-dihydro-phenylpropionate dehydrogenase activity,
b0594	GO:0005524	ATP binding
b0594	GO:0008668	(2,3-dihydroxybenzoyl)adenylate synthase activity
b0594	GO:0016746	transferase activity, transferring acyl groups
b0594	GO:0047527	2,3-dihydroxybenzoate-serine ligase activity
b0348	GO:0008198	ferrous iron binding
b0348	GO:0047070	3-carboxyethylcatechol 2,3-dioxygenase activity
b3578	GO:0022891	substrate-specific transmembrane transporter activity,
