term_id	marker_gene	cv_values
GO:0000287	b1813	0.0398464631008616
GO:0003677	b2184	0.0372385995216239
GO:0003746	b3339	0.036843390589445
GO:0003916	b3019	0.0390292237180057
GO:0003918	b3019	0.0390292237180057
GO:0003924	b3339	0.036843390589445
GO:0004004	b2184	0.0372385995216239
GO:0004175	b2568	0.0394775273281152
GO:0004252	b3234	0.0364795471441631
GO:0005515	b3339	0.036843390589445
GO:0005524	b2184	0.0372385995216239
GO:0005525	b3339	0.036843390589445
GO:0008233	b3234	0.0364795471441631
GO:0008641	b2812	0.0383493352846142
GO:0008725	b3549	0.0390310609633677
GO:0008794	b2495	0.0368856875274702
GO:0015086	b3915	0.0396498327551522
GO:0015093	b3915	0.0396498327551522
GO:0015341	b3915	0.0396498327551522
GO:0015643	b2568	0.0394775273281152
GO:0016818	b1813	0.0398464631008616
GO:0030145	b1813	0.0398464631008616
GO:0030955	b2812	0.0383493352846142
GO:0031402	b2812	0.0383493352846142
GO:0042802	b3234	0.0364795471441631
GO:0043140	b0962	0.0374569704831026
GO:0046872	b3549	0.0390310609633677
GO:0050355	b3054	0.0390815175391812
GO:0051087	b0055	0.0379539217108001
other	b3033	0.036278560947483
